case_id,variant,pred_volume_ml,neg_volume_ml,entropy_sum_ml,entropy_mean_region,entropy_per_volume,soft_dice_gap,dice,pred_voxels,truth_voxels,bad
spleen_47,clean,410.45494809688125,-410.45494809688125,122.17234226427982,0.2093526870012283,0.2976510402195054,0.0466639104801511,0.955,133163,138188,False
spleen_49,clean,304.85247168669616,-304.85247168669616,101.65403265956787,0.2217080146074295,0.3334532014686765,0.0526429484931638,0.969,104618,104397,False
spleen_52,clean,196.97900761912229,-196.97900761912229,69.01189611795436,0.2235686779022216,0.3503515270591445,0.0548411133030992,0.9606,76051,71002,False
spleen_53,clean,129.58544190403566,-129.58544190403566,42.65351502654265,0.1913364082574844,0.3291536024403856,0.0492870315037106,0.9513,61814,57851,False
spleen_56,clean,82.55358101295722,-82.55358101295722,41.46934701974247,0.2962001860141754,0.5023325034589794,0.0796590589818131,0.925,24122,22812,True
spleen_59,clean,434.01167050634496,-434.01167050634496,128.96003180957734,0.2087898552417755,0.2971349403096109,0.0468566992612899,0.9602,95943,94315,False
spleen_6,clean,217.0925510472756,-217.0925510472756,80.21025750271397,0.2266727834939956,0.3694749410598009,0.0589305072771824,0.9642,160332,154736,False
spleen_60,clean,299.0634807700748,-299.0634807700748,105.82779513247104,0.2370115369558334,0.3538639851979563,0.0550319653844111,0.9647,95122,95369,False
spleen_61,clean,165.98729420627257,-165.98729420627257,68.09028926155389,0.2545531988143921,0.4102138635800522,0.063461024009286,0.9604,55495,54596,False
spleen_62,clean,271.5670308987482,-271.5670308987482,95.66641839390768,0.232202410697937,0.3522755250418309,0.0557927253934219,0.9537,118931,120843,False
spleen_63,clean,353.63330881917807,-353.63330881917807,117.137861818807,0.2237394005060196,0.3312410310271497,0.0511516381213227,0.9609,125084,126135,False
spleen_8,clean,500.9126680476121,-500.9126680476121,140.5556842440986,0.1996153444051742,0.28059918067542,0.0447856986908458,0.9605,108340,108477,False
spleen_9,clean,273.5615011170673,-273.5615011170673,89.57980989260598,0.2163957506418228,0.3274576631829177,0.0525920617178046,0.9668,98804,97210,False
